S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,Test score,Experience,Degree,Leadership,Gender
Candidate B,Candidate A,Candidate B,Candidate B,Candidate A,Candidate A,Candidate B,Candidate A,Candidate A,Candidate A,Candidate A,Candidate B,Candidate A,Candidate A,Candidate B,5,6,7,4,1
Candidate B,Candidate B,Candidate B,Candidate B,Candidate A,Candidate A,Candidate B,Candidate B,Candidate A,Candidate B,Candidate A,Candidate A,Candidate A,Candidate B,Candidate A,5,3,5,3,1
Candidate A,Candidate A,Candidate A,Candidate B,Candidate A,Candidate A,Candidate B,Candidate A,Candidate A,Candidate A,Candidate B,Candidate B,Candidate A,Candidate B,Candidate A,4,5,5,4,1
Candidate A,Candidate B,Candidate A,Candidate B,Candidate A,Candidate B,Candidate A,Candidate A,Candidate B,Candidate A,Candidate B,Candidate B,Candidate B,Candidate A,Candidate A,3,1,1,3,3
Candidate A,Candidate A,Candidate A,Candidate B,Candidate A,Candidate A,Candidate B,Candidate A,Candidate A,Candidate A,Candidate A,Candidate B,Candidate B,Candidate A,Candidate B,3,3,4,2,2
Candidate A,Candidate B,Candidate B,Candidate B,Candidate A,Candidate B,Candidate A,Candidate A,Candidate A,Candidate A,Candidate A,Candidate A,Candidate B,Candidate A,Candidate A,7,5,7,2,1
Candidate A,Candidate B,Candidate B,Candidate B,Candidate A,Candidate B,Candidate B,Candidate B,Candidate A,Candidate B,Candidate B,Candidate B,Candidate A,Candidate A,Candidate A,6,6,5,4,6
Candidate B,Candidate A,Candidate B,Candidate B,Candidate A,Candidate B,Candidate A,Candidate B,Candidate B,Candidate B,Candidate A,Candidate A,Candidate B,Candidate A,Candidate A,6,5,7,5,2
Candidate B,Candidate B,Candidate A,Candidate B,Candidate B,Candidate B,Candidate A,Candidate B,Candidate A,Candidate B,Candidate A,Candidate A,Candidate B,Candidate A,Candidate B,4,6,5,7,1
Candidate B,Candidate B,Candidate B,Candidate B,Candidate A,Candidate A,Candidate A,Candidate A,Candidate B,Candidate A,Candidate B,Candidate B,Candidate A,Candidate A,Candidate A,4,7,5,7,1
Candidate A,Candidate A,Candidate B,Candidate B,Candidate A,Candidate B,Candidate A,Candidate B,Candidate B,Candidate A,Candidate A,Candidate B,Candidate B,Candidate A,Candidate A,3,5,7,2,1
